id,title,artist,composer,lyricist,arranger,producer,year,bpm
ZIZDj1UeWNugRRFYheJR,"愛上‧未愛上的愛","張彥博","張彥博","高皓正","","",,
ZQbmphkVAwZUYTl31AXi,"TIME","《一個人行街》ME","謝芊彤","謝芊彤","","",,
ZeDVSlNhiD12QvwcSDp9,"時間人物地點 鄭中基","Unknown","馬永齡","陳少琪 作","","",,
aAlPkC2DGQq14InIOTlS,"聽見下雨的聲音","魏如昀","周杰倫","方文山","","",,
aCGgIF5UpUCsuEXybn9f,"余文樂 張志明","Unknown","五月天","林日曦","","",,
aLrKGDmovpm5vMzCLIdG,"讓一切隨風","鐘鎮濤","大野剋夫","黃霑","","",,
aUPweVNxdUC0zUtBok38,"Victory","李克勤","Tonci Huljik","陳少琪","","",,
akylaiqre2eqIbK3MEQu,"幸福摩天輪","陳奕迅","Eric Kwok","林夕","","",,
c8wrvAdAaOX8Bk0l4DO4,"想愛...你  國語版","蘇俏慧","黄德江","蘇俏慧／黄德江 編：曾慶欣","","",,
cXKS1mpOlcN9eXv7Vp5f,"兄兄我我","C AllStar","伍仲衡","黃偉文","","",,
czuVxMTn0uoYRYk9MHMr,"我的離開也是愛","許廷鏗","葉肇中","張美賢/葉肇中","","",,
dHOMcLrOiGBhigib8KGH,"搲撈HK","RubberBand","RubberBand","RubberBand","","",,
dIlWgH82BaVb6j5QtuX1,"仁至義盡","許廷鏗","黃安弘","黃偉文","","",,
eDHpgaec2WjnQwfc5P3M,"近在千里","周柏豪","Kenix Cheang","林若寧","","",,
eyUnmfjizuVDEFfqsFTd,"王灝兒 多少年","JW","林家謙","陳詠謙","","",,
f1Mqe1DmzZEb5jT7zvZC,"@ C AllStar 煉獄健身室","On","On@ C AllStar","黃偉文","","",,
f20xPmj7ltnAmbmaKAG3,"演員","吳業坤","阿Bert","Supper Moment","","",,
fDHAsRNO7PRcKUu3keKE,"傷心到變形","吳業坤","吳業坤 / Cousin Fung","陳詠謙 4/4","","",,
fr7LHPA68gDC8rL2i1t4,"鄭俊弘 熊貓","Unknown","張家誠","楊熙","","",,
g4UcaNyre9NSc3NOq8cs,"《我錯》","J.Arie 雷琛瑜","Park","甄健強 編 / 監：藝深 D","","",,
gUd46XSEDOeF289YM9eG,"死性不改","BOYZ","張佳添","黃敬佩","","",,
gfRCVwnJCv10xCJStg1a,"上次講到","周柏豪","周錫漢","陳詠謙","","",,
gpfE3LTI9eGafRjFLyAG,"隨意門","陳奕迅","張佳添＠宇宙大爆炸","黃偉文","","",,
h4o7pLPBAS5qMHvKD1b9,"披風","陳奕迅","MJ譚傑明","易家揚","","",,
hCEh4PotfLLgcaJkTKT9,"池希 同情別戀","鄒文正","鄒文正","何樹熊","","",,
hCnzO3Zvx2S8vIKQIx1m,"男朋友","古天樂","伍樂城","林夕","","",,
hlr94gNWQx4l2d5o19gu,"勉強幸福","林宥嘉","鄭楠","林夕","","",,
i266wlRrKMBEbCVrB7y6,"藍雨","張學友","德永英明","林振強","","",,
issqxoQhakmZGKtUuYpZ,"456Wing","農夫","DJ Galaxy","陸永","","",,
jQGOHfJOG27gqTRxBKwc,"你在我在","許廷鏗","Dear Jane","陳詠謙","","",,
jnw2orRNOpmKZsfa2e9S,"歌頓花園 Gordon's Garden","Gordon Flanders","Gordon Flanders","小克","","",,
kBEQ6OIrvHK7AsyVIKuB,"音樂大童","Unknown","Eric Kwok","陳詠謙","","",,
kOCEoodj6g9GUA67MktT,"明日恩典","容祖兒","舒文","黃偉文 3/4","","",,
kUz0xzHovNO2qDnkRpTd,"陪着我走 [","Lowell Lo 盧冠廷","盧冠廷","唐書琛","","",,
kYU2ESuENMMZYGwXKivH,"伸手觸碰那些夢","永倫籃球會","陳可為","王澄晞","","",,
leXCcQMvMKqcRwT3poxi,"往事只能回味","尤雅","劉家昌","林煌坤","","",,
lia0TV1z3MiuK7qwVJfP,"想愛...你  (粵語版)","蘇俏慧","黄德江","蘇俏慧","","",,
ljy0YCe5npjr9oUEQu7P,"直到你肯定","C AllStar","賴映彤@groovision","小廣@Groovision","","",,
monwyQGQCQHnA0JJ2iQp,"陽光普照","張學友","劉珂銘","林若寧","","",,
